Shyr,Name,Emotion 1,Emotion 2
ہم  نے  جو  بھول  کے  بھی  شہہ  کا  قصیدہ  نہ  لکھا  شاید  آیا  اسی  خوبی  کی  بدولت  لکھنا ,حبیب جالب,,
اس  سے  بڑھ  کر  مری  تحسین  بھلا  کیا  ہوگی  پڑھ  کے  نا  خوش  ہیں  مرا  صاحب  ثروت  لکھنا ,حبیب جالب,,
دہر  کے  غم  سے  ہوا  ربط  تو  ہم  بھول  گئے  سرو  قامت  کو  جوانی  کو  قیامت  لکھنا ,حبیب جالب,,
کچھ  بھی  کہتے  ہیں  کہیں  شہہ  کے  مصاحب  جالبؔ  رنگ  رکھنا  یہی  اپنا  اسی  صورت  لکھنا ,حبیب جالب,,
بھلا  بھی  دے  اسے  جو  بات  ہو  گئی  پیارے  نئے  چراغ  جلا  رات  ہو  گئی  پیارے ,حبیب جالب,,
تری  نگاہ  پشیماں  کو  کیسے  دیکھوں  گا  کبھی  جو  تجھ  سے  ملاقات  ہو  گئی  پیارے ,حبیب جالب,,
نہ  تیری  یاد  نہ  دنیا  کا  غم  نہ  اپنا  خیال  عجیب  صورت  حالات  ہو  گئی  پیارے ,حبیب جالب,,
اداس  اداس  ہیں  شمعیں  بجھے  بجھے  ساغر  یہ  کیسی  شام  خرابات  ہو  گئی  پیارے ,حبیب جالب,,
وفا  کا  نام  نہ  لے  گا  کوئی  زمانے  میں  ہم  اہل  دل  کو  اگر  مات  ہو  گئی  پیارے ,حبیب جالب,,
تمہیں  تو  ناز  بہت  دوستوں  پہ  تھا  جالبؔ  الگ  تھلگ  سے  ہو  کیا  بات  ہو  گئی  پیارے ,حبیب جالب,,
کچھ  لوگ  خیالوں  سے  چلے  جائیں  تو  سوئیں  بیتے  ہوئے  دن  رات  نہ  یاد  آئیں  تو  سوئیں ,حبیب جالب,,
چہرے  جو  کبھی  ہم  کو  دکھائی  نہیں  دیں  گے  آ  آ  کے  تصور  میں  نہ  تڑپائیں  تو  سوئیں ,حبیب جالب,,
برسات  کی  رت  کے  وہ  طرب  ریز  مناظر  سینے  میں  نہ  اک  آگ  سی  بھڑکائیں  تو  سوئیں ,حبیب جالب,,
صبحوں  کے  مقدر  کو  جگاتے  ہوئے  مکھڑے  آنچل  جو  نگاہوں  میں  نہ  لہرائیں  تو  سوئیں ,حبیب جالب,,
محسوس  یہ  ہوتا  ہے  ابھی  جاگ  رہے  ہیں  لاہور  کے  سب  یار  بھی  سو  جائیں  تو  سوئیں ,حبیب جالب,,
ہجوم  دیکھ  کے  رستہ  نہیں  بدلتے  ہم  کسی  کے  ڈر  سے  تقاضا  نہیں  بدلتے  ہم ,حبیب جالب,,
ہزار  زیر  قدم  راستہ  ہو  خاروں  کا  جو  چل  پڑیں  تو  ارادہ  نہیں  بدلتے  ہم ,حبیب جالب,,
اسی  لیے  تو  نہیں  معتبر  زمانے  میں  کہ  رنگ  صورت  دنیا  نہیں  بدلتے  ہم ,حبیب جالب,,
ہوا  کو  دیکھ  کے  جالبؔ  مثال  ہم  عصراں  بجا  یہ  زعم  ہمارا  نہیں  بدلتے  ہم ,حبیب جالب,,
اپنوں  نے  وہ  رنج  دئے  ہیں  بیگانے  یاد  آتے  ہیں  دیکھ  کے  اس  بستی  کی  حالت  ویرانے  یاد  آتے  ہیں ,حبیب جالب,,
اس  نگری  میں  قدم  قدم  پہ  سر  کو  جھکانا  پڑتا  ہے  اس  نگری  میں  قدم  قدم  پر  بت  خانے  یاد  آتے  ہیں ,حبیب جالب,,
آنکھیں  پر  نم  ہو  جاتی  ہیں  غربت  کے  صحراؤں  میں  جب  اس  رم  جھم  کی  وادی  کے  افسانے  یاد  آتے  ہیں ,حبیب جالب,,
ایسے  ایسے  درد  ملے  ہیں  نئے  دیاروں  میں  ہم  کو  بچھڑے  ہوئے  کچھ  لوگ  پرانے  یارانے  یاد  آتے  ہیں ,حبیب جالب,,
جن  کے  کارن  آج  ہمارے  حال  پہ  دنیا  ہستی  ہے  کتنے  ظالم  چہرے  جانے  پہچانے  یاد  آتے  ہیں ,حبیب جالب,,
یوں  نہ  لٹی  تھی  گلیوں  دولت  اپنے  اشکوں  کی  روتے  ہیں  تو  ہم  کو  اپنے  غم  خانے  یاد  آتے  ہیں ,حبیب جالب,,
کوئی  تو  پرچم  لے  کر  نکلے  اپنے  گریباں  کا  جالبؔ  چاروں  جانب  سناٹا  ہے  دیوانے  یاد  آتے  ہیں ,حبیب جالب,,
اس  شہر  خرابی  میں  غم  عشق  کے  مارے  زندہ  ہیں  یہی  بات  بڑی  بات  ہے  پیارے ,حبیب جالب,,
یہ  ہنستا  ہوا  چاند  یہ  پر  نور  ستارے  تابندہ  و  پایندہ  ہیں  ذروں  کے  سہارے ,حبیب جالب,,
حسرت  ہے  کوئی  غنچہ  ہمیں  پیار  سے  دیکھے  ارماں  ہے  کوئی  پھول  ہمیں  دل  سے  پکارے ,حبیب جالب,,
ہر  صبح  مری  صبح  پہ  روتی  رہی  شبنم  ہر  رات  مری  رات  پہ  ہنستے  رہے  تارے ,حبیب جالب,,
کچھ  اور  بھی  ہیں  کام  ہمیں  اے  غم  جاناں  کب  تک  کوئی  الجھی  ہوئی  زلفوں  کو  سنوارے ,حبیب جالب,,
پھر  دل  سے  آ  رہی  ہے  صدا  اس  گلی  میں  چل  شاید  ملے  غزل  کا  پتا  اس  گلی  میں  چل ,حبیب جالب,,
کب  سے  نہیں  ہوا  ہے  کوئی  شعر  کام  کا  یہ  شعر  کی  نہیں  ہے  فضا  اس  گلی  میں  چل ,حبیب جالب,,
وہ  بام  و  در  وہ  لوگ  وہ  رسوائیوں  کے  زخم  ہیں  سب  کے  سب  عزیز  جدا  اس  گلی  میں  چل ,حبیب جالب,,
اس  پھول  کے  بغیر  بہت  جی  اداس  ہے  مجھ  کو  بھی  ساتھ  لے  کے  صبا  اس  گلی  میں  چل ,حبیب جالب,,
دنیا  تو  چاہتی  ہے  یوں  ہی  فاصلے  رہیں  دنیا  کے  مشوروں  پہ  نہ  جا  اس  گلی  میں  چل ,حبیب جالب,,
بے  نور  و  بے  اثر  ہے  یہاں  کی  صدائے  ساز  تھا  اس  سکوت  میں  بھی  مزا  اس  گلی  میں  چل ,حبیب جالب,,
جالبؔ  پکارتی  ہیں  وہ  شعلہ  نوائیاں  یہ  سرد  رت  یہ  سرد  ہوا  اس  گلی  میں  چل ,حبیب جالب,,
وطن  کو  کچھ  نہیں  خطرہ  نظام  زر  ہے  خطرے  میں  حقیقت  میں  جو  رہزن  ہے  وہی  رہبر  ہے  خطرے  میں ,حبیب جالب,,
جو  بیٹھا  ہے  صف  ماتم  بچھائے  مرگ  ظلمت  پر  وہ  نوحہ  گر  ہے  خطرے  میں  وہ  دانشور  ہے  خطرے  میں ,حبیب جالب,,
اگر  تشویش  لاحق  ہے  تو  سلطانوں  کو  لاحق  ہے  نہ  تیرا  گھر  ہے  خطرے  میں  نہ  میرا  گھر  ہے  خطرے  میں ,حبیب جالب,,
جہاں  اقبالؔ  بھی  نذر  خط  تنسیخ  ہو  جالبؔ  وہاں  تجھ  کو  شکایت  ہے  ترا  جوہر  ہے  خطرے  میں ,حبیب جالب,,
دل  پر  جو  زخم  ہیں  وہ  دکھائیں  کسی  کو  کیا  اپنا  شریک  درد  بنائیں  کسی  کو  کیا ,حبیب جالب,,
ہر  شخص  اپنے  اپنے  غموں  میں  ہے  مبتلا  زنداں  میں  اپنے  ساتھ  رلائیں  کسی  کو  کیا ,حبیب جالب,,
بچھڑے  ہوئے  وہ  یار  وہ  چھوڑے  ہوئے  دیار  رہ  رہ  کے  ہم  کو  یاد  جو  آئیں  کسی  کو  کیا ,حبیب جالب,,
رونے  کو  اپنے  حال  پہ  تنہائی  ہے  بہت  اس  انجمن  میں  خود  پہ  ہنسائیں  کسی  کو  کیا ,حبیب جالب,,
وہ  بات  چھیڑ  جس  میں  جھلکتا  ہو  سب  کا  غم  یادیں  کسی  کی  تجھ  کو  ستائیں  کسی  کو  کیا ,حبیب جالب,,
سوئے  ہوئے  ہیں  لوگ  تو  ہوں  گے  سکون  سے  ہم  جاگنے  کا  روگ  لگائیں  کسی  کو  کیا ,حبیب جالب,,
جالبؔ  نہ  آئے  گا  کوئی  احوال  پوچھنے  دیں  شہر  بے  حساں  میں  صدائیں  کسی  کو  کیا ,حبیب جالب,,
یہ  اور  بات  تیری  گلی  میں  نہ  آئیں  ہم  لیکن  یہ  کیا  کہ  شہر  ترا  چھوڑ  جائیں  ہم ,حبیب جالب,,
مدت  ہوئی  ہے  کوئے  بتاں  کی  طرف  گئے  آوارگی  سے  دل  کو  کہاں  تک  بچائیں  ہم ,حبیب جالب,,
شاید  بہ  قید  زیست  یہ  ساعت  نہ  آ  سکے  تم  داستان  شوق  سنو  اور  سنائیں  ہم ,حبیب جالب,,
بے  نور  ہو  چکی  ہے  بہت  شہر  کی  فضا  تاریک  راستوں  میں  کہیں  کھو  نہ  جائیں  ہم ,حبیب جالب,,
اس  کے  بغیر  آج  بہت  جی  اداس  ہے  جالبؔ  چلو  کہیں  سے  اسے  ڈھونڈ  لائیں  ہم ,حبیب جالب,,
جھوٹی  خبریں  گھڑنے  والے  جھوٹے  شعر  سنانے  والے  لوگو  صبر  کہ  اپنے  کئے  کی  جلد  سزا  ہیں  پانے  والے ,حبیب جالب,,
درد  آنکھوں  سے  بہتا  ہے  اور  چہرہ  سب  کچھ  کہتا  ہے  یہ  مت  لکھو  وہ  مت  لکھو  آئے  بڑے  سمجھانے  والے ,حبیب جالب,,
خود  کاٹیں  گے  اپنی  مشکل  خود  پائیں  گے  اپنی  منزل  راہزنوں  سے  بھی  بد  تر  ہیں  راہنما  کہلانے  والے ,حبیب جالب,,
ان  سے  پیار  کیا  ہے  ہم  نے  ان  کی  راہ  میں  ہم  بیٹھے  ہیں  نا  ممکن  ہے  جن  کا  ملنا  اور  نہیں  جو  آنے  والے ,حبیب جالب,,
ان  پر  بھی  ہنستی  تھی  دنیا  آوازیں  کستی  تھی  دنیا  جالبؔ  اپنی  ہی  صورت  تھے  عشق  میں  جاں  سے  جانے  والے ,حبیب جالب,,
دل  پر  شوق  کو  پہلو  میں  دبائے  رکھا  تجھ  سے  بھی  ہم  نے  ترا  پیار  چھپائے  رکھا ,حبیب جالب,,
چھوڑ  اس  بات  کو  اے  دوست  کہ  تجھ  سے  پہلے  ہم  نے  کس  کس  کو  خیالوں  میں  بسائے  رکھا ,حبیب جالب,,
غیر  ممکن  تھی  زمانے  کے  غموں  سے  فرصت  پھر  بھی  ہم  نے  ترا  غم  دل  میں  بسائے  رکھا ,حبیب جالب,,
پھول  کو  پھول  نہ  کہتے  سو  اسے  کیا  کہتے  کیا  ہوا  غیر  نے  کالر  پہ  سجائے  رکھا ,حبیب جالب,,
جانے  کس  حال  میں  ہیں  کون  سے  شہروں  میں  ہیں  وہ  زندگی  اپنی  جنہیں  ہم  نے  بنائے  رکھا ,حبیب جالب,,
ہائے  کیا  لوگ  تھے  وہ  لوگ  پری  چہرہ  لوگ  ہم  نے  جن  کے  لیے  دنیا  کو  بھلائے  رکھا ,حبیب جالب,,
اب  ملیں  بھی  تو  نہ  پہچان  سکیں  ہم  ان  کو  جن  کو  اک  عمر  خیالوں  میں  بسائے  رکھا ,حبیب جالب,,
کبھی  تو  مہرباں  ہو  کر  بلا  لیں  یہ  مہوش  ہم  فقیروں  کی  دعا  لیں ,حبیب جالب,,
نہ  جانے  پھر  یہ  رت  آئے  نہ  آئے  جواں  پھولوں  کی  کچھ  خوشبو  چرا  لیں ,حبیب جالب,,
بہت  روئے  زمانے  کے  لیے  ہم  ذرا  اپنے  لیے  آنسو  بہا  لیں ,حبیب جالب,,
ہم  ان  کو  بھولنے  والے  نہیں  ہیں  سمجھتے  ہیں  غم  دوراں  کی  چالیں ,حبیب جالب,,
ہماری  بھی  سنبھل  جائے  گی  حالت  وہ  پہلے  اپنی  زلفیں  تو  سنبھالیں ,حبیب جالب,,
نکلنے  کو  ہے  وہ  مہتاب  گھر  سے  ستاروں  سے  کہو  نظریں  جھکا  لیں ,حبیب جالب,,
ہم  اپنے  راستے  پر  چل  رہے  ہیں  جناب  شیخ  اپنا  راستہ  لیں ,حبیب جالب,,
زمانہ  تو  یوں  ہی  روٹھا  رہے  گا  چلو  جالبؔ  انہیں  چل  کر  منا  لیں ,حبیب جالب,,
بٹے  رہو  گے  تو  اپنا  یوں  ہی  بہے  گا  لہو  ہوئے  نہ  ایک  تو  منزل  نہ  بن  سکے  گا  لہو ,حبیب جالب,,
ہو  کس  گھمنڈ  میں  اے  لخت  لخت  دیدہ  ورو  تمہیں  بھی  قاتل  محنت  کشاں  کہے  گا  لہو ,حبیب جالب,,
اسی  طرح  سے  اگر  تم  انا  پرست  رہے  خود  اپنا  راہنما  آپ  ہی  بنے  گا  لہو ,حبیب جالب,,
سنو  تمہارے  گریبان  بھی  نہیں  محفوظ  ڈرو  تمہارا  بھی  اک  دن  حساب  لے  گا  لہو ,حبیب جالب,,
اگر  نہ  عہد  کیا  ہم  نے  ایک  ہونے  کا  غنیم  سب  کا  یوں  ہی  بیچتا  رہے  گا  لہو ,حبیب جالب,,
کبھی  کبھی  مرے  بچے  بھی  مجھ  سے  پوچھتے  ہیں  کہاں  تک  اور  تو  خشک  اپنا  ہی  کرے  گا  لہو ,حبیب جالب,,
صدا  کہا  یہی  میں  نے  قریب  تر  ہے  وہ  دور  کہ  جس  میں  کوئی  ہمارا  نہ  پی  سکے  گا  لہو ,حبیب جالب,,
وہی  حالات  ہیں  فقیروں  کے  دن  پھرے  ہیں  فقط  وزیروں  کے ,حبیب جالب,,
اپنا  حلقہ  ہے  حلقۂ  زنجیر  اور  حلقے  ہیں  سب  امیروں  کے ,حبیب جالب,,
ہر  بلاول  ہے  دیس  کا  مقروض  پاؤں  ننگے  ہیں  بے  نظیروں  کے ,حبیب جالب,,
وہی  اہل  وفا  کی  صورت  حال  وارے  نیارے  ہیں  بے  ضمیروں  کے ,حبیب جالب,,
سازشیں  ہیں  وہی  خلاف  عوام  مشورے  ہیں  وہی  مشیروں  کے ,حبیب جالب,,
بیڑیاں  سامراج  کی  ہیں  وہی  وہی  دن  رات  ہیں  اسیروں  کے ,حبیب جالب,,
اب  تیری  ضرورت  بھی  بہت  کم  ہے  مری  جاں  اب  شوق  کا  کچھ  اور  ہی  عالم  ہے  مری  جاں ,حبیب جالب,,
اب  تذکرۂ  خندۂ  گل  بار  ہے  جی  پر  جاں  وقف  غم  گریہ  شبنم  ہے  مری  جاں ,حبیب جالب,,
رخ  پر  ترے  بکھری  ہوئی  یہ  زلف  سیہ  تاب  تصویر  پریشانئ  عالم  ہے  مری  جاں ,حبیب جالب,,
یہ  کیا  کہ  تجھے  بھی  ہے  زمانے  سے  شکایت  یہ  کیا  کہ  تری  آنکھ  بھی  پر  نم  ہے  مری  جاں ,حبیب جالب,,
ہم  سادہ  دلوں  پر  یہ  شب  غم  کا  تسلط  مایوس  نہ  ہو  اور  کوئی  دم  ہے  مری  جاں ,حبیب جالب,,
یہ  تیری  توجہ  کا  ہے  اعجاز  کہ  مجھ  سے  ہر  شخص  ترے  شہر  کا  برہم  ہے  مری  جاں ,حبیب جالب,,
اے  نزہت  مہتاب  ترا  غم  ہے  مری  زیست  اے  نازش  خورشید  ترا  غم  ہے  مری  جاں ,حبیب جالب,,
وہ  دیکھنے  مجھے  آنا  تو  چاہتا  ہوگا  مگر  زمانے  کی  باتوں  سے  ڈر  گیا  ہوگا ,حبیب جالب,,
اسے  تھا  شوق  بہت  مجھ  کو  اچھا  رکھنے  کا  یہ  شوق  اوروں  کو  شاید  برا  لگا  ہوگا ,حبیب جالب,,
کبھی  نہ  حد  ادب  سے  بڑھے  تھے  دیدہ  و  دل  وہ  مجھ  سے  کس  لیے  کس  بات  پر  خفا  ہوگا ,حبیب جالب,,
مجھے  گمان  ہے  یہ  بھی  یقین  کی  حد  تک  کسی  سے  بھی  نہ  وہ  میری  طرح  ملا  ہوگا ,حبیب جالب,,
کبھی  کبھی  تو  ستاروں  کی  چھاؤں  میں  وہ  بھی  مرے  خیال  میں  کچھ  دیر  جاگتا  ہوگا ,حبیب جالب,,
وہ  اس  کا  سادہ  و  معصوم  والہانہ  پن  کسی  بھی  جگ  میں  کوئی  دیوتا  بھی  کیا  ہوگا ,حبیب جالب,,
نہیں  وہ  آیا  تو  جالبؔ  گلہ  نہ  کر  اس  کا  نہ  جانے  کیا  اسے  درپیش  مسئلہ  ہوگا ,حبیب جالب,,
خوب  آزادئ  صحافت  ہے  نظم  لکھنے  پہ  بھی  قیامت  ہے ,حبیب جالب,,
دعویٰ  جمہوریت  کا  ہے  ہر  آن  یہ  حکومت  بھی  کیا  حکومت  ہے ,حبیب جالب,,
دھاندلی  دھونس  کی  ہے  پیداوار  سب  کو  معلوم  یہ  حقیقت  ہے ,حبیب جالب,,
خوف  کے  ذہن  و  دل  پہ  سائے  ہیں  کس  کی  عزت  یہاں  سلامت  ہے ,حبیب جالب,,
کبھی  جمہوریت  یہاں  آئے  یہی  جالبؔ  ہماری  حسرت  ہے ,حبیب جالب,,
فیضؔ  اور  فیضؔ  کا  غم  بھولنے  والا  ہے  کہیں  موت  یہ  تیرا  ستم  بھولنے  والا  ہے  کہیں ,حبیب جالب,,
ہم  سے  جس  وقت  نے  وہ  شاہ  سخن  چھین  لیا  ہم  کو  وہ  وقت  الم  بھولنے  والا  ہے  کہیں ,حبیب جالب,,
ترے  اشک  اور  بھی  چمکائیں  گی  یادیں  اس  کی  ہم  کو  وہ  دیدۂ  نم  بھولنے  والا  ہے  کہیں ,حبیب جالب,,
کبھی  زنداں  میں  کبھی  دور  وطن  سے  اے  دوست  جو  کیا  اس  نے  رقم  بھولنے  والا  ہے  کہیں ,حبیب جالب,,
آخری  بار  اسے  دیکھ  نہ  پائے  جالبؔ  یہ  مقدر  کا  ستم  بھولنے  والا  ہے  کہیں ,حبیب جالب,,
باتیں  تو  کچھ  ایسی  ہیں  کہ  خود  سے  بھی  نہ  کی  جائیں  سوچا  ہے  خموشی  سے  ہر  اک  زہر  کو  پی  جائیں ,حبیب جالب,,
اپنا  تو  نہیں  کوئی  وہاں  پوچھنے  والا  اس  بزم  میں  جانا  ہے  جنہیں  اب  تو  وہی  جائیں ,حبیب جالب,,
اب  تجھ  سے  ہمیں  کوئی  تعلق  نہیں  رکھنا  اچھا  ہو  کہ  دل  سے  تری  یادیں  بھی  چلی  جائیں ,حبیب جالب,,
اک  عمر  اٹھائے  ہیں  ستم  غیر  کے  ہم  نے  اپنوں  کی  تو  اک  پل  بھی  جفائیں  نہ  سہی  جائیں ,حبیب جالب,,
جالبؔ  غم  دوراں  ہو  کہ  یاد  رخ  جاناں  تنہا  مجھے  رہنے  دیں  مرے  دل  سے  سبھی  جائیں ,حبیب جالب,,
افسوس  تمہیں  کار  کے  شیشے  کا  ہوا  ہے  پروا  نہیں  اک  ماں  کا  جو  دل  ٹوٹ  گیا  ہے ,حبیب جالب,,
ہوتا  ہے  اثر  تم  پہ  کہاں  نالۂ  غم  کا  برہم  جو  ہوئی  بزم  طرب  اس  کا  گلا  ہے ,حبیب جالب,,
فرعون  بھی  نمرود  بھی  گزرے  ہیں  جہاں  میں  رہتا  ہے  یہاں  کون  یہاں  کون  رہا  ہے ,حبیب جالب,,
تم  ظلم  کہاں  تک  تہ  افلاک  کرو  گے  یہ  بات  نہ  بھولو  کہ  ہمارا  بھی  خدا  ہے ,حبیب جالب,,
آزادئ  انساں  کے  وہیں  پھول  کھلیں  گے  جس  جا  پہ  ظہیر  آج  ترا  خون  گرا  ہے ,حبیب جالب,,
تا  چند  رہے  گی  یہ  شب  غم  کی  سیاہی  رستہ  کوئی  سورج  کا  کہیں  روک  سکا  ہے ,حبیب جالب,,
تو  آج  کا  شاعر  ہے  تو  کر  میری  طرح  بات  جیسے  مرے  ہونٹوں  پہ  مرے  دل  کی  صدا  ہے ,حبیب جالب,,
اس  رعونت  سے  وہ  جیتے  ہیں  کہ  مرنا  ہی  نہیں  تخت  پر  بیٹھے  ہیں  یوں  جیسے  اترنا  ہی  نہیں ,حبیب جالب,,
یوں  مہ  و  انجم  کی  وادی  میں  اڑے  پھرتے  ہیں  وہ  خاک  کے  ذروں  پہ  جیسے  پاؤں  دھرنا  ہی  نہیں ,حبیب جالب,,
ان  کا  دعویٰ  ہے  کہ  سورج  بھی  انہی  کا  ہے  غلام  شب  جو  ہم  پر  آئی  ہے  اس  کو  گزرنا  ہی  نہیں ,حبیب جالب,,
کیا  علاج  اس  کا  اگر  ہو  مدعا  ان  کا  یہی  اہتمام  رنگ  و  بو  گلشن  میں  کرنا  ہی  نہیں ,حبیب جالب,,
ظلم  سے  ہیں  برسر  پیکار  آزادی  پسند  ان  پہاڑوں  میں  جہاں  پر  کوئی  جھرنا  ہی  نہیں ,حبیب جالب,,
دل  بھی  ان  کے  ہیں  سیہ  خوراک  زنداں  کی  طرح  ان  سے  اپنا  غم  بیاں  اب  ہم  کو  کرنا  ہی  نہیں ,حبیب جالب,,
انتہا  کر  لیں  ستم  کی  لوگ  ابھی  ہیں  خواب  میں  جاگ  اٹھے  جب  لوگ  تو  ان  کو  ٹھہرنا  ہی  نہیں ,حبیب جالب,,
آگ  ہے  پھیلی  ہوئی  کالی  گھٹاؤں  کی  جگہ  بد  دعائیں  ہیں  لبوں  پر  اب  دعاؤں  کی  جگہ ,حبیب جالب,,
انتخاب  اہل  گلشن  پر  بہت  روتا  ہے  دل  دیکھ  کر  زاغ  و  زغن  کو  خوش  نواؤں  کی  جگہ ,حبیب جالب,,
کچھ  بھی  ہوتا  پر  نہ  ہوتے  پارہ  پارہ  جسم  و  جاں  راہزن  ہوتے  اگر  ان  رہنماؤں  کی  جگہ ,حبیب جالب,,
لٹ  گئی  اس  دور  میں  اہل  قلم  کی  آبرو  بک  رہے  ہیں  اب  صحافی  بیسواؤں  کی  جگہ ,حبیب جالب,,
کچھ  تو  آتا  ہم  کو  بھی  جاں  سے  گزرنے  کا  مزہ  غیر  ہوتے  کاش  جالبؔ  آشناؤں  کی  جگہ ,حبیب جالب,,
بڑے  بنے  تھے  جالبؔ  صاحب  پٹے  سڑک  کے  بیچ  گولی  کھائی  لاٹھی  کھائی  گرے  سڑک  کے  بیچ ,حبیب جالب,,
کبھی  گریباں  چاک  ہوا  اور  کبھی  ہوا  دل  خون  ہمیں  تو  یوں  ہی  ملے  سخن  کے  صلے  سڑک  کے  بیچ ,حبیب جالب,,
جسم  پہ  جو  زخموں  کے  نشاں  ہیں  اپنے  تمغے  ہیں  ملی  ہے  ایسی  داد  وفا  کی  کسے  سڑک  کے  بیچ ,حبیب جالب,,
جیون  مجھ  سے  میں  جیون  سے  شرماتا  ہوں  مجھ  سے  آگے  جانے  والو  میں  آتا  ہوں ,حبیب جالب,,
جن  کی  یادوں  سے  روشن  ہیں  میری  آنکھیں  دل  کہتا  ہے  ان  کو  بھی  میں  یاد  آتا  ہوں ,حبیب جالب,,
سر  سے  سانسوں  کا  ناتا  ہے  توڑوں  کیسے  تم  جلتے  ہو  کیوں  جیتا  ہوں  کیوں  گاتا  ہوں ,حبیب جالب,,
تم  اپنے  دامن  میں  ستارے  بیٹھ  کے  ٹانکو  اور  میں  نئے  برن  لفظوں  کو  پہناتا  ہوں ,حبیب جالب,,
جن  خوابوں  کو  دیکھ  کے  میں  نے  جینا  سیکھا  ان  کے  آگے  ہر  دولت  کو  ٹھکراتا  ہوں ,حبیب جالب,,
